 |WURZEL|STAMM|VERB|NOMEN|ADJEKTIV|WEITERE|KOGNATE|BEDEUTUNG|GLOSE
| computer | computer | computer -n | der Computer | | | neues Lehnwort < en. |Instrument|
| container | container | container -n | der Container | | | neues Lehnwort < en. |Ort|
| cover | cover | cover -n | das Cover | | | neues Lehnwort < en. |Resultat|
| crash | crash | crash -en | der Crash | | | neues Lehnwort < en. |Resultat|
| crawl | crawl | kraul -en | das Crawl | | | neues Lehnwort < en. |Instrument|
| creme | creme | creme -n | die Creme | | | |Resultat|
| cruise | cruise | cruise -n | | | | neues Lehnwort < en. | |
| dach | dach | ab/be/über- dach -en | das Dach | | | |Resultat|
| dachs | dachs | dachs -en | der Dachs | | | < germ. \*þahsu |Lebewesen| "fest schlafen wie ein Dachs"
| dachtel | dachtel | dachtel -n | die Dachtel | | | |Resultat| "ohrfeigen"
| dack | dack -el | dackel -n | der Dackel | | | ~ Dachs |Lebewesen>Diminutiv|
| daddel | daddel | daddel -n | | | | | |
| dahl | dahl | dahl -en | | | | |Stimmgeräusch| "scherzen"
| dalber | dalber | dalber -n | | | | ~? albern | |
| dalk | dalk | dalk -en | | | | |Stimmgeräusch| "kindisch reden"
| damm 1 | damm | dämm -en (U) | der Damm | | | |Instrument|
| damm 2 | ver- damm | verdamm -en | die Verdamm -ung | | | Lehnwort < lat. damnare | |
| dammel | dammel | dammel -n | | | | | | "trödeln"
| dämmer | dämmer | dämmer -n | die Dämmer -ung | | | < ahd. demar < ie. \*tem "dunkel"  | |
| dampf | dampf | dämpf -en (U) | der Dampf | | | |Instrument|
| dampf | dampf | dampf -en | der Dampf | | | |Resultat|
| dank | dank | dank -en | der Dank | | | |Resultat|
| darb | darb | darb -en | | | | | | "Hunger leiden"
| date | date | date -n | das Date | | | neues Lehnwort < en. |Resultat|
| dau | ver- dau | verdau -en | die Verdau -ung | | | ~ tauen | |
| dauer | dauer | dauer -n | die Dauer | | | ~ lat. durus |Resultat|
